date,review,rating,title,lemmatized_review,top_emotion,emotion_score,sentiment_label,product_type,issue_type
2026-05-07,It’s a 2 star review because you have to pay for premium or your songs shuffle on your Spotify,2,It’s a 2 star review because you have to pay for premium or your songs shuffle on your Spotify,it ’ a 2 star review because you have to pay for premium or your song shuffle on your spotify,Neutral,0.766518235206604,LABEL_1,"Music, Playlist/Shuffle",Monetization
2026-05-07,THEY KEEP RAISING THE PRICE OF SPOTIFY PREMIUM WITHOUT ADDING ANYTHING THAT ACTUALLY MAKES THE APP BETTER,2,Bro stop,they keep raise the price of spotify premium without add anything that actually make the app well,Neutral,0.7493625283241272,LABEL_1,General,Monetization
2026-05-07,Honestly just a simple good app,5,Good,honestly just a simple good app,Neutral,0.7888336777687073,LABEL_2,General,General
2026-05-07,Spotify is so good,5,Spotify amazing,spotify be so good,Neutral,0.4991753101348877,LABEL_2,General,General
2026-05-07,I put 4 stars because you have to pay to turn off shuffle.,4,4/5,I put 4 star because you have to pay to turn off shuffle .,Neutral,0.8998677134513855,LABEL_1,Playlist/Shuffle,Monetization
2026-05-07,"Great music app! I’ve yet to not be able to find a song I like. Which is amazing being that my favorite genres are 60’,  70’s and early 80’s  Hip Hop.",5,Phenomenal,"great music app ! I ’ve yet to not be able to find a song I like . which be amazing be that my favorite genre be 60 ' ,   70 ’s and early 80 ’s   hip hop .",Positive,0.4955185055732727,LABEL_2,Music,General
2026-05-07,the best app i’ve ever downloaded there is barely adds and almost no subscription adds that pop up everywhere,5,best ever,the good app I ’ve ever download there be barely adds and almost no subscription add that pop up everywhere,Positive,0.7877053022384644,LABEL_2,General,"Monetization, Technical"
2026-05-07,Simply the best of the best,5,Cool songs,simply the good of the good,Neutral,0.7796093225479126,LABEL_2,General,General
2026-05-07,Best music app… SO GOOD!!!,5,…,good music app … so good ! ! !,Positive,0.5672498345375061,LABEL_2,Music,General
2026-05-07,I’m glad I’m not an APPLE MUSIC USER. Proud Spotify user Spotify sponsor me pls,5,Wow,I ’m glad I ’m not an apple music user . proud spotify user spotify sponsor I pls,Positive,0.9627178311347961,LABEL_2,Music,Monetization
2026-05-07,To many adds every 30 minutes,1,Adds,to many add every 30 minute,Neutral,0.8385670781135559,LABEL_1,General,Monetization
2026-05-07,Its the best.,5,The best,its the good .,Positive,0.763240396976471,LABEL_2,General,General
2026-05-07,To much ads,1,Ads,to much ad,Positive,0.3886130750179291,LABEL_0,General,Monetization
2026-05-07,Good app,5,Good app,good app,Neutral,0.7079951167106628,LABEL_2,General,General
2026-05-07,The music I want when I want,5,Spotify,the music I want when I want,Neutral,0.8613939881324768,LABEL_1,Music,General
2026-05-07,I have been using Spotify for a couple of months now without the premium and it’s making me buy premium to hear the musics I want to hear Wich is crazy!,1,:(,I have be use spotify for a couple of month now without the premium and it ’ make I buy premium to hear the music I want to hear wich be crazy !,Positive,0.37861940264701843,LABEL_2,Music,Monetization
2026-05-07,"Always good to have Spotify! Anytime, Anywhere, Anyone",5,Jordan’s Spotify Review,"always good to have spotify ! anytime , anywhere , anyone",Positive,0.7166134119033813,LABEL_2,General,General
2026-05-07,"Unlimited songs, amazing quality! My only hope is that the price for no adds gets cheaper. It’s annoying having to pay for no adds. When you have adds you get 3 songs and than 3 adds! Over all I love and listen to more songs since I downloaded it!",5,Amazing app!,"unlimited song , amazing quality ! my only hope be that the price for no add get cheap . it ’ annoying have to pay for no add . when you have add you get 3 song and than 3 add ! over all I love and listen to more song since I download it !",Positive,0.41688859462738037,LABEL_2,Music,"Monetization, Technical"
